mean1,mean2,mean3,var1,var2,var3,sk1,sk2,sk3,w1,w2,w3,mm_mean,mm_var,mm_skew
3.4809,5.08699,9.29844,1.1043,1.18336,3.78815,0.0,0.0,0.0,0.418223,0.37046,0.211452,5.30649,6.48255,17.6774908406
3.71358,6.25678,10.6041,0.527782,1.60921,3.6841,0.0,0.0,0.0,0.593275,0.266847,0.139914,5.35644,6.92852,25.5148381985
4.11435,7.63711,13.2321,0.726328,1.39409,0.570168,0.0,0.0,0.0,0.666986,0.283321,0.0498028,5.56697,6.45556,23.8934052672
3.77036,5.74723,8.81307,0.615647,3.18078,2.96371,0.0,0.0,0.0,0.587888,0.254197,0.158014,5.07007,4.96222,12.5644171379
4.20052,7.49896,12.8445,0.716492,2.55304,4.6762,0.0,0.0,0.0,0.684225,0.232582,0.0832449,5.68746,8.01336,39.0487212241
3.87288,6.17902,10.4,1.08015,2.17636,3.23007,0.0,0.0,0.0,0.540648,0.337335,0.12209,5.448,6.22811,17.5544538345
3.91322,7.38447,13.0525,0.644427,2.27587,2.75699,0.0,0.0,0.0,0.670761,0.263865,0.0653444,5.42624,7.56069,34.3282960251
3.8776,7.80543,11.856,1.11539,1.27957,6.07806,0.0,0.0,0.0,0.668128,0.235203,0.0967557,5.57373,8.54651,32.6509583005
4.10325,6.80464,12.2219,0.860606,1.4456,6.38596,0.0,0.0,0.0,0.680362,0.24595,0.0737461,5.36661,6.47223,32.1178089676
4.02107,5.88441,9.13968,0.628297,2.95249,3.30804,0.0,0.0,0.0,0.554526,0.228264,0.217271,5.55878,5.86254,14.7404964116
3.84155,8.02532,15.0126,0.831877,2.17386,0.160385,0.0,0.0,0.0,0.645702,0.332751,0.0215238,5.47406,7.10899,24.4005550621
3.73752,5.70501,9.4332,0.877485,1.36278,3.80638,0.0,0.0,0.0,0.385487,0.436627,0.177979,5.61064,5.56776,13.4445047445
4.04827,6.12506,11.0983,1.04622,4.02417,4.37583,0.0,0.0,0.0,0.658281,0.208191,0.133437,5.42101,7.75499,31.6655963192
3.8133,8.32902,13.1046,0.802611,1.26308,8.65242,0.0,0.0,0.0,0.61634,0.344312,0.039368,5.73398,8.00126,25.4809085129
3.65846,5.27844,9.10835,0.584036,0.551185,2.20697,0.0,0.0,0.0,0.479432,0.272153,0.248505,5.45399,5.85111,13.7759697673
3.64492,5.86098,10.7299,1.25469,0.877097,3.22139,0.0,0.0,0.0,0.537748,0.285146,0.17714,5.53198,8.22733,26.6000208171
4.08569,8.29379,13.0823,1.62206,1.29459,0.56643,0.0,0.0,0.0,0.689539,0.260633,0.0498994,5.63168,7.74923,21.1461613956
3.90729,7.31835,10.9834,0.916,1.53233,1.37237,0.0,0.0,0.0,0.671963,0.200315,0.12773,5.49443,7.30514,21.2874699148
3.88757,7.16741,11.9024,0.840044,1.95779,2.05788,0.0,0.0,0.0,0.644625,0.258547,0.0968459,5.51184,7.61148,27.3829144802
4.00049,6.27542,10.9783,1.25934,2.0506,3.47267,0.0,0.0,0.0,0.576242,0.318018,0.105815,5.46262,6.40647,20.6132770964
4.25842,7.86508,10.8558,1.24151,1.92783,4.32822,0.0,0.0,0.0,0.669372,0.266799,0.0638667,5.64218,5.95783,14.5113320345
