mu1,mu2,sigma1,sigma2,w1,w2
1.45287,8.79036,0.341918,3.13947,0.768166,0.231923
4.21703,2.09994,1.13111,0.264764,0.724893,0.2751
4.1861,2.19599,1.18299,0.24716,0.7314,0.268596
4.23998,2.17028,1.15844,0.253726,0.757441,0.242616
4.22459,2.17009,1.16996,0.250426,0.737054,0.262936
1.44158,8.55876,0.348864,2.91117,0.767195,0.232822
1.45005,8.72669,0.339105,2.87937,0.76732,0.232762
4.11465,2.10215,1.00337,0.245196,0.707533,0.292471
4.06216,2.13758,1.14766,0.23656,0.716265,0.283601
4.2137,2.16814,1.18553,0.243543,0.730115,0.269855
4.2113,2.12946,1.10018,0.247635,0.72833,0.271762
4.24436,2.17046,1.20819,0.252921,0.753269,0.246785
4.11359,2.13179,1.09114,0.251231,0.712962,0.28705
4.19984,2.13629,1.1599,0.262491,0.734884,0.265205
1.44778,8.65619,0.314511,2.89864,0.753585,0.246507
1.47916,9.03149,0.335082,3.18415,0.773719,0.226378
4.01568,2.08992,1.10896,0.253334,0.700471,0.299671
4.17006,2.11274,1.07886,0.253986,0.724702,0.275375
4.14371,2.15287,1.08936,0.235361,0.71966,0.280414
4.12337,2.11916,1.07301,0.274953,0.736737,0.263357
4.23337,2.16652,1.09978,0.255529,0.740647,0.259424
4.0561,2.11016,1.00422,0.263995,0.711454,0.288637
1.46988,8.97535,0.324288,3.05612,0.782232,0.217907
4.15257,2.11911,1.05975,0.243664,0.724205,0.27583
4.1715,2.13836,1.07276,0.241343,0.743001,0.257097
4.11715,2.11716,1.06237,0.255383,0.732669,0.267351
1.46969,8.73033,0.324297,3.06928,0.75212,0.247935
4.17981,2.17277,1.15316,0.256452,0.748602,0.251395
4.09128,2.12109,1.16702,0.240962,0.729253,0.270709
4.13471,2.09658,0.989641,0.230524,0.707446,0.292432
1.47442,8.62321,0.333767,2.83324,0.740519,0.259497
4.04159,2.11498,1.01712,0.252759,0.706838,0.293287
4.14324,2.12694,1.11117,0.251984,0.727843,0.272182
1.45795,8.74614,0.328325,2.86962,0.753936,0.246099
4.22461,2.13768,1.14485,0.245116,0.746375,0.253633
1.44746,8.52028,0.339406,2.92105,0.744506,0.255502
4.18631,2.14392,1.14057,0.259735,0.731719,0.268339
1.45649,8.61956,0.322455,2.94155,0.770192,0.229818
1.44844,8.70878,0.32517,2.8596,0.744986,0.255091
4.10936,2.12896,1.11151,0.264152,0.72475,0.275331
4.19732,2.17153,1.15925,0.264368,0.741196,0.258873
4.15776,2.14079,1.11889,0.246383,0.743353,0.256667
4.2368,2.16136,1.10543,0.22819,0.721324,0.278718
4.14039,2.12824,1.15464,0.261899,0.729907,0.27011
4.22306,2.16319,1.13199,0.244994,0.750827,0.249226
4.19696,2.13659,1.0333,0.245709,0.729065,0.270935
4.17578,2.15019,1.16104,0.258793,0.74928,0.250773
4.15872,2.12182,1.08247,0.257007,0.722562,0.277457
4.17016,2.15055,1.09968,0.242773,0.727768,0.272228
1.46944,8.67084,0.341614,3.20031,0.759906,0.240087
4.14721,2.16413,1.15037,0.257554,0.750215,0.249774
4.12237,2.13559,1.08682,0.248227,0.71718,0.282877
4.15236,2.15682,1.05223,0.238127,0.727923,0.272177
4.22591,2.1478,1.18117,0.249975,0.742786,0.257271
4.13185,2.14028,1.10267,0.247999,0.740005,0.260068
1.44629,8.77221,0.322136,3.1465,0.72894,0.271126
1.45979,8.33053,0.334648,2.85228,0.743846,0.256172
4.19143,2.12684,1.14905,0.248037,0.728066,0.272018
4.08063,2.12602,1.11465,0.272994,0.726073,0.27398
4.16971,2.12235,1.132,0.261726,0.744328,0.255701
1.46672,8.80314,0.330786,2.84254,0.756924,0.243165
4.10831,2.16128,1.08326,0.237015,0.714511,0.285504
4.13833,2.12369,1.16814,0.253186,0.750118,0.249927
1.47907,8.82256,0.339745,3.04214,0.778478,0.221572
1.45366,8.50197,0.333791,2.98223,0.730474,0.269622
4.11535,2.12027,1.13319,0.246226,0.715082,0.284829
1.45106,8.75549,0.300386,2.73683,0.774956,0.225137
4.20609,2.16522,1.18446,0.256092,0.731803,0.26827
4.13582,2.10162,1.04166,0.247595,0.729635,0.270402
1.46666,8.66216,0.332822,2.81952,0.764075,0.236004
4.22923,2.12506,1.09317,0.265601,0.724218,0.275789
4.13129,2.11173,1.08725,0.256806,0.724663,0.27538
4.11674,2.11471,1.10442,0.249413,0.71125,0.28881
4.12828,2.12053,1.10247,0.25561,0.730564,0.269513
4.27559,2.18419,1.10016,0.23055,0.748928,0.251097
4.20466,2.14686,1.11791,0.239843,0.747103,0.252937
